reference,cote,auteur,titre,publication,pagination,descripteurs
060AN.0031,060AN.0031,THE NEW ICC WORLD DIRECTORY OF CHAMBERS OF COMMERCE,Nouvel annuaire mondial cci des chambres de commerce 1990,551p,,/ANNUAIRE//CHAMBRE//COMMERCE/
061AN.0032,061AN.0032,SONABHY,Annuaire statistique 1993,"OUAGA : SONABHY,s.d.,",30p,/ANNUAIRE//STATISTIQUE/
062AN.0033,062AN.0033,SONABHY,Statistiques 1er semestre 1994,"OUAGA : SONABHY, 1994",18P,/STATISTIQUE//SEMESTRE/
063AN.0034,063AN.0034,SONABHY,Annuaire statistique 1995,"OUAGA : SONABHY, 1996",35P,/ANNUAIRE//STATISTIQUE/
064AN.0035,064AN.0035,SONABHY,Annuaire statistique 1997,"OUAGA : SONABHY, 1998",44P,/ANNUAIRE//STATISTIQUE/
065RE.0004,065RE.0004,IFP,Répertoire des stages de formation éd.1991 : E.N.S.P.M,"s.l. : IFP, 1990",171P,/REPERTOIRE//STAGE//FORMATION/
066RE.0005,066RE.0005,IFP,"Worldwide tanker nominal freight scale ""worldscale""","s.l : s.n, 1985",481p,
067RE.0006,067RE.0006,REUTERS LTD,The reuter money 2000 service : directory,"LONDON : REUTER LTD, 1990",46P,/REPERTOIRE//FINANCE/
068RE.0007,068RE.0007,REUTERS LTD,The reuter futures 2000 service : directory,"LONDON : REUTERS LTD, 1990",71P,/REPERTOIRE//COMMERCE/
069AU.0002,069AU.0002,REUTERS LTD,User guide : the reuter futures 2000 service,"LONDON : REUTERS LTD, 1990",42P,/REPERTOIRE//AFRIQUE//COMMERCE GENERAL/
073RE.0008,073RE.0008,SEPI,Répertoire des fournisseurs de l ' Afrique FANE 2002,"PARIS : SEPI, 2002",236P,
